case,baseline_makespan,baseline_added,makespan_n1,added_n1,speedup_n1,hit_n1,makespan_n2,added_n2,speedup_n2,hit_n2,makespan_n3,added_n3,speedup_n3,hit_n3,makespan_n4,added_n4,speedup_n4,hit_n4,makespan_n5,added_n5,speedup_n5,hit_n5
case_019,81144,0,81144,0,1.0,0.0,34656,510500,2.3414,0.1249,27321,685380,2.97,0.2279,22501,752484,3.6062,0.2774,19749,638052,4.1088,0.3216
case_020,532746,0,532746,0,1.0,0.0,266580,0,1.9984,0.0,177950,0,2.9938,0.0,133704,0,3.9845,0.0,107574,0,4.9524,0.0
case_021,6567937,4501504,6558837,4501504,1.0,0.5006,3193634,3174400,2.0566,0.2178,2103364,7186432,3.1226,0.4887,1550324,4608000,4.2365,0.0,1249380,11431936,5.257,0.57
case_022,56780,0,56780,0,1.0,0.0,27481,0,2.0662,0.0,19192,112516,2.9585,0.3448,14940,0,3.8005,0.0,12527,0,4.5326,0.0
case_023,122614,0,122614,0,1.0,0.0,41929,90116,2.9243,0.1429,28284,147456,4.3351,0.0845,28284,147456,4.3351,0.0845,21898,544408,5.5993,0.2301
case_024,2555343,0,2555343,0,1.0,0.0,2555343,0,1.0,0.0,2159126,22415452,1.1835,0.0279,2003351,29037088,1.2755,0.0638,1577373,30282428,1.62,0.0864
case_025,4863026,0,4863026,0,1.0,0.0,2431840,27648,1.9997,0.0,1622164,55296,2.9979,0.0,1217444,82944,3.9945,0.0,975282,110592,4.9863,0.0
case_026,99203,0,99203,0,1.0,0.0,53608,234952,1.8505,0.2657,41670,0,2.3807,0.0,39189,1198596,2.5314,0.4491,39189,1198596,2.5314,0.4491
case_027,2363952,1400832,2359515,1400832,1.0,0.2689,1115722,1105920,2.1188,0.0,763896,6107136,3.0946,0.3164,559196,2211840,4.2274,0.0,487450,12023808,4.8496,0.2965
case_028,43836040,277412256,43836040,277412256,1.0,0.0,20009296,20677824,2.1908,0.139,13362801,11675592,3.2805,0.0003,10080305,11508096,4.3487,0.1651,7991196,12550656,5.4855,0.4413
case_029,37555,0,37555,0,1.0,0.0,19737,16400,1.9028,0.0451,12743,0,2.9471,0.0,10970,490010,3.4234,0.6383,9342,112734,4.02,0.1941
case_030,2808034,5519360,2807891,5519360,1.0,0.2599,1399744,7834624,2.0061,0.4435,931340,9363456,3.015,0.5443,699009,8838144,4.0172,0.6505,560550,11588608,5.0094,0.5942
case_031,1414369,3491328,1414159,3491328,1.0,0.2606,710284,4032000,1.9913,0.3395,478086,4969984,2.9584,0.3051,360132,5298688,3.9274,0.3154,293738,4816896,4.8151,0.3212
case_032,41443,0,41443,0,1.0,0.0,21219,127132,1.9531,0.2912,12612,205008,3.286,0.419,11276,0,3.6753,0.0,10350,0,4.0042,0.0
case_033,1774196,4592640,1774080,4592640,1.0,0.0963,893649,6224928,1.9853,0.3115,588351,7086144,3.0155,0.3501,445198,7344224,3.9852,0.3693,356085,8111232,4.9825,0.3683
case_034,842996,1079832,842733,1079832,1.0,0.309,412214,1238528,2.045,0.3503,272476,2328576,3.0938,0.5033,208260,3019264,4.0478,0.5568,164813,3508224,5.1149,0.5756
case_035,169571,0,169571,0,1.0,0.0,95406,0,1.7774,0.0,80774,762436,2.0993,0.425,77573,1128234,2.186,0.5541,63503,1160968,2.6703,0.5485
case_036,931510,0,931510,0,1.0,0.0,466068,1152,1.9987,0.0,311345,2304,2.9919,0.0,233584,3456,3.9879,0.0,187182,4608,4.9765,0.0
case_037,210001,0,210001,0,1.0,0.0,105374,204800,1.9929,0.0,72874,1003520,2.8817,0.5256,53320,614400,3.9385,0.0,43013,1310720,4.8823,0.0
case_038,1364555,5627904,1363312,5627904,1.0,0.1736,678831,5607936,2.0102,0.191,456400,7012352,2.9898,0.289,339825,7758336,4.0155,0.2604,271662,9409536,5.023,0.3938
case_039,1435262,7929856,1435262,7929856,1.0,0.0,705615,11067392,2.0341,0.3702,481303,10113024,2.982,0.2009,351769,17899520,4.0801,0.4651,302347,11489280,4.7471,0.2292
case_040,253454,0,253454,0,1.0,0.0,128421,0,1.9736,0.0,110105,0,2.3019,0.0,107705,3065534,2.3532,0.4022,107705,3065534,2.3532,0.4022
case_041,6003957,30898176,6001575,30898176,1.0,0.1016,2981380,33595392,2.0138,0.1996,1990580,35017728,3.0162,0.2666,1493320,38879232,4.0205,0.3305,1191841,40452096,5.0375,0.3263
case_042,1686740,6629376,1675633,6629376,1.0,0.3187,840543,7265568,2.0067,0.356,569525,7746560,2.9617,0.3391,428924,8925184,3.9325,0.357,342039,9689088,4.9314,0.3852
case_043,677656,49160,677656,49160,1.0,0.0332,327792,1884268,2.0673,0.3184,229480,3085000,2.953,0.4567,204676,4132756,3.3109,0.4929,171690,5217408,3.947,0.5395
case_044,154407,4438112,107814,4438112,1.0,0.82,43910,930400,3.5164,0.0015,43910,930400,3.5164,0.0015,43910,930400,3.5164,0.0015,43910,930400,3.5164,0.0015
case_045,125614,0,125614,0,1.0,0.0,63059,0,1.992,0.0,42601,0,2.9486,0.0,31878,0,3.9405,0.0,26088,0,4.815,0.0
case_046,276455,3176288,244994,3176288,1.0,0.753,105718,930400,2.615,0.0,102704,2064576,2.6918,0.3826,76653,2213920,3.6066,0.6207,76653,2213920,3.6066,0.6207
case_047,326508,0,326508,0,1.0,0.0,156919,794950,2.0807,0.1641,122464,1239692,2.6662,0.2798,112730,1947090,2.8964,0.2886,99665,2584600,3.2761,0.42
case_048,222220,0,222220,0,1.0,0.0,159138,233030,1.3964,0.0011,149071,576140,1.4907,0.0755,142969,1756370,1.5543,0.2471,142969,1756370,1.5543,0.2471
case_049,196276,0,196276,0,1.0,0.0,100433,319282,1.9543,0.0848,81123,497688,2.4195,0.267,60474,751934,3.2456,0.3762,58817,872740,3.3371,0.4406
case_050,149690,0,149690,0,1.0,0.0,80346,272582,1.8631,0.2574,55445,481660,2.6998,0.3456,43605,571290,3.4329,0.3522,43605,571290,3.4329,0.3522
case_051,607628,0,607628,0,1.0,0.0,607628,0,1.0,0.0,483306,10748968,1.2572,0.1064,345691,2359688,1.7577,0.2037,345691,2359688,1.7577,0.2037
case_052,180301,0,180301,0,1.0,0.0,71775,73728,2.512,0.0521,48446,147456,3.7217,0.0818,38437,221184,4.6908,0.1206,30477,294912,5.916,0.1418
case_053,1472686,5405536,1428109,5405536,1.0,0.6249,703878,2184118,2.0922,0.2755,553159,2848940,2.6623,0.4222,424946,12542018,3.4656,0.3456,365951,14846008,4.0243,0.2954
case_054,815051,0,815051,0,1.0,0.0,411477,933062,1.9808,0.0741,342219,1613448,2.3817,0.1835,243498,2545234,3.3473,0.2786,243498,2545234,3.3473,0.2786
case_055,118835,69632,118835,69632,1.0,0.1001,48250,98816,2.4629,0.0822,36065,99328,3.295,0.137,29142,677058,4.0778,0.4652,25980,866562,4.5741,0.4386
case_056,277285,0,277285,0,1.0,0.0,130574,496950,2.1236,0.1786,90592,767084,3.0608,0.3524,88843,1107930,3.1211,0.4075,75480,1454488,3.6736,0.5065
case_057,59726,94216,59726,94216,1.0,0.2187,30053,269820,1.9874,0.4058,21457,526964,2.7835,0.5665,18096,590402,3.3005,0.5739,15920,712460,3.7516,0.6126
case_058,4539717,28696576,4539717,28696576,1.0,0.0,2262108,33492992,2.0069,0.1146,1496185,31211520,3.0342,0.4265,1142629,42622976,3.973,0.269,947187,31719424,4.7928,0.0235
case_059,829473,1691648,815938,1691648,1.0,0.61,369318,360448,2.246,0.0,254656,3397632,3.2572,0.6128,185216,1081344,4.4784,0.0,150736,3063808,5.5028,0.7021
case_060,888789,2068520,887801,2068520,1.0,0.4231,451802,2724108,1.9672,0.4039,298831,3164416,2.9742,0.4687,229535,3510784,3.8721,0.4721,179018,4039168,4.9648,0.4702
case_061,77191,0,77191,0,1.0,0.0,38873,25344,1.9857,0.0445,29471,179618,2.6192,0.2293,22111,50688,3.4911,0.0852,20281,331070,3.8061,0.1872
case_062,2854809,0,2854809,0,1.0,0.0,1428976,53760,1.9978,0.0003,954215,41472,2.9918,0.0003,716754,89088,3.983,0.0007,574337,86016,4.9706,0.0007
case_063,1070397,0,1070397,0,1.0,0.0,534986,9031680,2.0008,0.0752,344374,4119552,3.1082,0.1165,270081,64512,3.9632,0.0018,216191,726528,4.9512,0.0008
case_064,19116,0,19116,0,1.0,0.0,13674,61542,1.398,0.1618,11407,99404,1.6758,0.2443,11227,122098,1.7027,0.2954,11227,122098,1.7027,0.2954
case_065,53068,0,53068,0,1.0,0.0,21905,13824,2.4226,0.0147,14937,27648,3.5528,0.0,12477,41472,4.2533,0.081,10612,55296,5.0008,0.0909
case_066,359070,0,359070,0,1.0,0.0,197561,952044,1.8175,0.1692,143753,1403928,2.4978,0.2907,131603,2060756,2.7284,0.3402,107074,2476400,3.3535,0.3685
case_067,63834834,264449408,63834834,264449408,1.0,0.0,30303605,8325504,2.1065,0.3379,20084166,10769152,3.1784,0.5318,15040197,14048384,4.2443,0.6379,12497325,17327616,5.1079,0.1772
case_068,362095,0,362095,0,1.0,0.0,197002,1553566,1.838,0.2426,149676,1963948,2.4192,0.1507,120739,3208234,2.999,0.2132,113021,3538800,3.2038,0.2358
case_069,25144,0,25144,0,1.0,0.0,13112,371046,1.9176,0.1627,12005,335116,2.0945,0.3283,10301,432114,2.4409,0.4182,9903,351476,2.539,0.4857
case_070,117300,0,117300,0,1.0,0.0,48453,88064,2.4209,0.0282,41103,176128,2.8538,0.0893,29097,264192,4.0313,0.0958,26733,685912,4.3878,0.2323
case_071,18919,0,18919,0,1.0,0.0,11236,326886,1.6838,0.1774,10636,229324,1.7788,0.2053,8702,267856,2.1741,0.335,8425,239056,2.2456,0.1763
case_072,23897828,108613680,23890756,108613680,1.0,0.0262,11841570,113201200,2.0181,0.1342,7989837,119709046,2.991,0.1442,5928167,125858856,4.0312,0.1831,4776264,130011184,5.0035,0.3252
case_073,10081626,141570432,10081626,141570432,1.0,0.0,4197779,3721600,2.4017,0.4893,2855382,7443200,3.5307,0.0,2123315,11164800,4.7481,0.7418,1761257,14886400,5.7241,0.5035
case_074,1682239,6070280,1678120,6070280,1.0,0.1668,824879,6590472,2.0394,0.2928,544114,7585792,3.0917,0.3068,405309,7819264,4.1505,0.2971,333065,8515586,5.0508,0.3525
case_075,1441809,0,1441809,0,1.0,0.0,670175,2310790,2.1514,0.1438,572669,3422476,2.5177,0.3041,383543,5734290,3.7592,0.4746,362317,6600472,3.9794,0.4369
case_076,6185113,28280832,6183098,28280832,1.0,0.1336,3065275,31201280,2.0178,0.2757,2049651,34470912,3.0176,0.3567,1529902,32051200,4.0428,0.3454,1230166,34179072,5.0279,0.3875
case_077,495320,0,495320,0,1.0,0.0,250735,57344,1.9755,0.0261,175206,932152,2.8271,0.1784,131477,147094,3.7674,0.0001,114398,1592816,4.3298,0.2117
case_078,2296143,12644568,2296143,12644568,1.0,0.0,1022234,2148480,2.2462,0.0,900985,6471168,2.5485,0.5177,523593,8694144,4.3854,0.0923,457569,11371008,5.0181,0.3571
case_079,31052251,32448512,31052251,32448512,1.0,0.0,15159240,32612352,2.0484,0.0,10072944,32722944,3.0827,0.0,7635624,30445568,4.0668,0.0,6075472,47677440,5.1111,0.2442
case_080,292138,548864,291826,548864,1.0,0.1686,145674,2191360,2.0054,0.436,100165,3932160,2.9166,0.0,79600,2658304,3.6701,0.4329,70042,3538944,4.1709,0.4301
case_081,151795,0,151795,0,1.0,0.0,76860,0,1.975,0.0,51943,0,2.9223,0.0,39588,0,3.8344,0.0,30943,0,4.9056,0.0
case_082,721041,0,721041,0,1.0,0.0,333721,832902,2.1606,0.1985,227521,1428236,3.1691,0.2837,215953,2111634,3.3389,0.4759,198680,2932248,3.6292,0.4856
case_083,1057993,13934688,946145,13934688,1.0,0.7959,419453,930400,2.5223,0.4398,288815,1860800,3.6632,0.3054,210763,2791200,5.0198,0.7019,184990,3721600,5.7192,0.1896
case_084,2507412,0,2507412,0,1.0,0.0,1255052,0,1.9979,0.0,836220,0,2.9985,0.0,629028,0,3.9862,0.0,503472,0,4.9802,0.0
case_085,3187899,0,3187899,0,1.0,0.0,1503897,3911858,2.1198,0.1587,1272443,5532684,2.5053,0.3023,816273,8300178,3.9054,0.5001,816273,8300178,3.9054,0.5001
case_086,118403,0,118403,0,1.0,0.0,62938,518694,1.8813,0.1947,47288,919116,2.5039,0.2189,38643,1363698,3.064,0.3823,38643,1363698,3.064,0.3823
case_087,3974071,7902720,3969779,7902720,1.0,0.1834,1991129,8248320,1.9959,0.19,1456602,6727680,2.7283,0.2332,1135476,21730796,3.4999,0.4708,894365,6981120,4.4435,0.2422
case_088,243623,0,243623,0,1.0,0.0,130606,1049798,1.8653,0.2475,101498,1382412,2.4003,0.1067,88285,2268882,2.7595,0.2035,77530,2451224,3.1423,0.2017
case_089,693092,0,693092,0,1.0,0.0,295144,238720,2.3483,0.0,206778,477440,3.3519,0.2712,148144,716160,4.6785,0.0,119458,954880,5.802,0.0
case_090,1178363,21233592,1178363,21233592,1.0,0.0,431566,2917248,2.7304,0.2087,324313,4296960,3.6334,0.2998,259720,6445440,4.5371,0.2108,259720,6445440,4.5371,0.2108
case_091,9186769,53947008,9168820,53947008,1.0,0.1054,4563996,52114560,2.0129,0.3386,3069257,60897408,2.9932,0.4353,2317037,69020832,3.9649,0.2879,1884651,73166848,4.8745,0.3128
case_092,4815554,66000096,4333631,66000096,1.0,0.7935,1926278,5437728,2.4999,0.0002,1274060,3859648,3.7797,0.1431,957454,4167456,5.0295,0.3072,786053,3950976,6.1262,0.1644
case_093,74205,0,74205,0,1.0,0.0,37827,8192,1.9617,0.0,25103,16384,2.956,0.0,19779,24576,3.7517,0.0,15876,32768,4.674,0.0
case_094,94892,0,94892,0,1.0,0.0,43732,114464,2.1699,0.1352,26678,212544,3.5569,0.2007,20121,318528,4.7161,0.0727,19192,425088,4.9444,0.2391
case_095,2084853,0,2084853,0,1.0,0.0,1042890,0,1.9991,0.0,673706,16330752,3.0946,0.0,524422,0,3.9755,0.0,420852,0,4.9539,0.0
case_096,84194,0,84194,0,1.0,0.0,40994,124748,2.0538,0.3173,33260,125704,2.5314,0.3204,26984,0,3.1201,0.0,24477,965588,3.4397,0.5114
case_097,11491509,10584064,11491509,10584064,1.0,0.0,5477830,14655488,2.0978,0.0496,3563647,18454528,3.2246,0.3002,2626908,14221312,4.3745,0.0417,2102250,21311488,5.4663,0.2452
case_098,177430,0,177430,0,1.0,0.0,89756,0,1.9768,0.0,64155,1341690,2.7656,0.2909,64155,1341690,2.7656,0.2909,57218,2014572,3.1009,0.3473
case_099,1622999,5484544,1618902,5484544,1.0,0.2524,805721,7315456,2.0143,0.4537,540032,6590464,3.0054,0.3633,404548,9818112,4.0119,0.5833,327016,10776576,4.9631,0.5496
case_100,151223,0,151223,0,1.0,0.0,85674,306188,1.7651,0.4076,57948,0,2.6096,0.0,51098,1534220,2.9595,0.4789,48488,2061936,3.1188,0.6268
